uni_lemma,response_norm,block,eng1,eng2,kor1,kor2
airplane,shape,category_organization,0.3,0.5,0.3333333333333333,NA
airplane,count,count_mass,0.9,NA,1,NA
airplane,solid,solidity,1,NA,0.75,NA
animal,shape,category_organization,0.1111111111111111,0.16666666666666666,0.5,0.5862068965517241
animal,count,count_mass,0.7,NA,0.875,0.6756756756756757
animal,solid,solidity,0.75,NA,0.6666666666666666,0.5625
ankle,solid,solidity,1,NA,1,0.6551724137931034
ankle,shape,category_organization,0.2857142857142857,0.5,0.625,0.8620689655172413
ankle,count,count_mass,1,NA,1,0.8055555555555556
ant,shape,category_organization,0.25,0.14285714285714285,0.25,0.6206896551724138
ant,count,count_mass,0.5,NA,0.7142857142857143,0.7027027027027027
ant,solid,solidity,0.42857142857142855,NA,0.75,0.6206896551724138
apple,solid,solidity,1,NA,1,0.8275862068965517
apple,shape,category_organization,0.75,0.09090909090909093,0.1111111111111111,0.4482758620689655
apple,count,count_mass,1,NA,1,0.90625
arm,shape,category_organization,0.6,0.5555555555555556,0.4615384615384616,0.8620689655172413
arm,count,count_mass,0.8888888888888888,NA,1,0.8285714285714286
arm,solid,solidity,0.8333333333333334,NA,0.8333333333333334,0.6896551724137931
back (body part),count,count_mass,0.625,NA,0.625,NA
back (body part),shape,category_organization,0.2727272727272727,0.5555555555555556,0.2,NA
back (body part),solid,solidity,0.6363636363636364,NA,0.8,NA
bag,solid,solidity,0.7777777777777778,NA,1,0.9655172413793104
bag,shape,category_organization,0.4444444444444444,0.4444444444444444,1,0.6551724137931034
bag,count,count_mass,0.875,NA,1,0.9666666666666668
balloon,count,count_mass,0.8,NA,1,0.7941176470588235
balloon,shape,category_organization,0.6153846153846154,0.25,0.3333333333333333,0.3793103448275862
balloon,solid,solidity,0.16666666666666666,NA,0.8571428571428571,0.7
banana,shape,category_organization,0.5,0.4117647058823529,0.75,0.4827586206896552
banana,solid,solidity,0.8,NA,1,0.7931034482758621
banana,count,count_mass,0.8571428571428571,NA,1,0.90625
bathroom,shape,category_organization,0.2,NA,0.2857142857142857,0.6896551724137931
bathroom,count,count_mass,0.7142857142857143,NA,0.8333333333333334,0.7567567567567568
bathroom,solid,solidity,0.7142857142857143,NA,0.6666666666666666,0.6
bathtub,shape,category_organization,0.3076923076923077,0.3,0.42857142857142855,0.6206896551724138
bathtub,count,count_mass,0.6,NA,0.8571428571428571,0.6842105263157895
bathtub,solid,solidity,1,NA,0.6666666666666666,0.6333333333333333
beans,solid,solidity,0.5,NA,0.7142857142857143,0.8333333333333334
beans,shape,category_organization,0.16666666666666666,0.2222222222222222,NA,0.5517241379310345
beans,count,count_mass,0.5555555555555556,NA,1,0.8064516129032258
bear,shape,category_organization,0.125,0.1111111111111111,0.3333333333333333,0.6551724137931034
bear,count,count_mass,0.8333333333333334,NA,0.6666666666666666,0.8055555555555556
bear,solid,solidity,1,NA,0.8,0.6551724137931034
bed,shape,category_organization,0.75,0.5,0.7142857142857143,0.6896551724137931
bed,count,count_mass,1,NA,1,0.90625
bed,solid,solidity,1,NA,1,0.896551724137931
bee,shape,category_organization,0.25,0.08333333333333333,0.6666666666666666,0.6896551724137931
bee,count,count_mass,1,NA,1,0.6944444444444444
bee,solid,solidity,0.8571428571428571,NA,1,0.6551724137931034
belly button,count,count_mass,0.8888888888888888,NA,1,0.7631578947368421
belly button,solid,solidity,0.4444444444444444,NA,0.7142857142857143,0.5862068965517241
belly button,shape,category_organization,0.5,0.6923076923076923,0.6666666666666666,0.7586206896551724
belt,count,count_mass,1,NA,1,0.84375
belt,shape,category_organization,0.42857142857142855,0.1111111111111111,0.6666666666666666,0.6206896551724138
belt,solid,solidity,1,NA,0.8,0.896551724137931
bicycle,shape,category_organization,0.75,0.6111111111111112,0.5,0.6428571428571429
bicycle,count,count_mass,0.8888888888888888,NA,1,0.9333333333333332
bicycle,solid,solidity,1,NA,1,0.9333333333333332
bird,solid,solidity,1,NA,1,0.6129032258064516
